time (ms),qx,qy,qz,qw,qx2,qy2,qz2,qw2,mx1,my1,mz1,mx2,my2,mz2,gx1,gy1,gz1,gx2,gy2,gz2,ax1,ay1,az1,ax2,ay2,az2,lx1,ly1,lz1,lx2,ly2,lz2,grx1,gry1,grz1,grx2,gry2,grz2
42,-0.775390625,-0.58636474609375,-0.000732421875,0.23431396484375,-0.070556640625,-0.60357666015625,-0.17413330078125,0.77484130859375,24.5625,12.5625,40.0,-36.0,5.5625,12.25,-0.028888888888888888,-0.10444444444444445,0.0022222222222222222,0.2,-0.11888888888888889,0.03111111111111111,2.55,-3.53,-8.33,9.27,0.79,2.56,1.29,0.05,0.36,-0.14,-0.19,0.02,2.68,-3.55,-8.73,9.42,0.99,2.52
79,-0.7755126953125,-0.5867919921875,0.0003662109375,0.23284912109375,-0.0693359375,-0.60626220703125,-0.17236328125,0.78106689453125,24.5625,12.1875,39.1875,-36.0,5.5625,12.25,-0.05444444444444444,-0.09222222222222222,0.01,0.2,-0.19,-0.0077777777777777776,4.06,-3.55,-8.32,9.29,0.73,2.56,1.33,0.0,0.51,-0.13,-0.26,0.09,3.93,-3.53,-8.75,9.44,0.99,2.45
118,-0.77569580078125,-0.5870361328125,0.00128173828125,0.2315673828125,-0.069091796875,-0.60821533203125,-0.17144775390625,0.77197265625,17.25,12.1875,39.1875,-35.5625,6.25,14.75,-0.057777777777777775,-0.12222222222222222,0.01,0.23,-0.15222222222222223,-0.04888888888888889,4.08,-3.54,-8.3,9.34,0.83,2.49,0.17,-0.01,0.45,-0.1,-0.07,0.09,2.62,-3.52,-8.76,9.45,1.01,2.4
163,-0.77587890625,-0.58758544921875,0.00213623046875,0.2296142578125,-0.0679931640625,-0.6112060546875,-0.1710205078125,0.777587890625,26.0,11.75,40.0,-36.0,5.5625,14.75,-0.04777777777777778,-0.13777777777777778,0.005555555555555556,0.09111111111111111,-0.17666666666666667,-0.01888888888888889,2.59,-3.45,-8.36,9.36,0.84,2.43,-0.01,0.07,0.46,-0.09,-0.18,0.07,2.58,-3.51,-8.78,9.46,1.03,2.34
200,-0.77593994140625,-0.58807373046875,0.00384521484375,0.22808837890625,-0.06689453125,-0.61370849609375,-0.16961669921875,0.7760009765625,26.0,12.1875,40.5,-36.6875,5.1875,15.1875,-0.04888888888888889,-0.11777777777777777,-0.0022222222222222222,0.2611111111111111,-0.1388888888888889,-0.017777777777777778,4.08,-3.46,-8.27,9.04,0.95,2.49,1.53,0.04,0.51,-0.32,-0.06,0.29,2.54,-3.5,-8.79,9.47,1.04,2.29
235,-0.7760009765625,-0.588623046875,0.00506591796875,0.23431396484375,-0.06549072265625,-0.6158447265625,-0.16815185546875,0.7747802734375,26.0,12.1875,40.5,-36.6875,5.1875,15.1875,-0.022222222222222223,-0.13555555555555557,0.01,0.22333333333333333,-0.11555555555555555,-0.016666666666666666,2.41,-3.42,-8.4,9.36,0.81,2.3,-0.1,0.07,0.4,-0.14,-0.23,-0.02,2.51,-3.5,-8.8,9.48,1.05,2.26
274,-0.7760009765625,-0.58905029296875,0.006103515625,0.22540283203125,-0.0648193359375,-0.61712646484375,-0.167724609375,0.76605224609375,18.375,12.1875,39.6875,-37.1875,6.0,13.5,-0.03111111111111111,-0.07,0.0044444444444444444,0.17666666666666667,-0.08555555555555555,-0.08444444444444445,2.45,-3.48,-8.48,9.37,0.83,2.3,-0.02,0.0,0.43,-0.16,-0.28,0.07,2.49,-3.48,-8.81,9.48,1.07,2.23
313,-0.77618408203125,-0.58929443359375,0.006591796875,0.2320556640625,-0.06378173828125,-0.61834716796875,-0.168212890625,0.76507568359375,27.0625,11.5,39.6875,-36.0,6.25,14.375,-0.06777777777777778,-0.03111111111111111,-0.005555555555555556,0.0,-0.06222222222222222,-0.13444444444444445,2.48,-3.35,-8.41,9.24,0.9,2.35,1.33,-0.08,0.29,-0.24,-0.2,0.13,2.48,-3.47,-8.82,9.48,1.11,2.21
350,-0.77642822265625,-0.58935546875,0.0057373046875,0.23089599609375,-0.06243896484375,-0.619140625,-0.17022705078125,0.7640380859375,26.6875,11.5,40.0625,-36.0,5.5625,15.1875,-0.14222222222222222,0.028888888888888888,-0.016666666666666666,0.1688888888888889,-0.04555555555555556,-0.1411111111111111,2.38,-3.31,-8.44,9.4,1.09,2.14,-0.1,0.12,0.39,-0.07,-0.06,-0.05,2.5,-3.42,-8.84,9.48,1.16,2.2
386,-0.77685546875,-0.58935546875,0.00360107421875,0.2294921875,-0.06158447265625,-0.61956787109375,-0.1729736328125,0.76318359375,18.6875,11.5,40.0625,-36.0,5.5625,15.1875,-0.08777777777777777,0.07222222222222222,-0.0033333333333333335,-0.13111111111111112,-0.008888888888888889,-0.13555555555555557,2.45,-3.49,-8.5,9.26,1.15,2.33,-0.07,-0.09,0.34,-0.18,-0.03,0.13,2.53,-3.4,-8.84,9.48,1.19,2.2
