Time (ms), qw1, qx1, qy1, qz1, ax1, ay1, az1, lax1, lay1, laz1, grx1, gry1, grz1, gyrx1, gyry1, gyrz1, qw2, qx2, qy2, qz2, ax2, ay2, az2, lax2, lay2, laz2, grx2, gry2, grz2, gyrx2, gyry2, gyrz2
1595, 0.05548095703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.14, -0.94, -9.87, -0.01, 0, -0.06, -0.13, -0.92, -9.76, 0.0011111111111111111, -0.0022222222222222222, -0.0011111111111111111, 1.0078125, 0, 0, 0.0003662109375, 0.11, -7.4, -6.8, 0.11, 320.26, -16.57, 0.11, -7.23, -6.62, 0, 0, -0.0044444444444444444
1618, 0.05548095703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.13, -0.93, -9.82, 1.28, 0, -0.07, -0.13, -0.92, -9.76, 0, -0.0044444444444444444, 0.0022222222222222222, 1, 0, 0, 0.0003662109375, 0.11, -7.42, -6.76, 0, -0.17, -0.16, 0.11, -7.23, -6.62, -0.0011111111111111111, 0.0044444444444444444, -0.0044444444444444444
1643, 0.05548095703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.12, -0.92, -9.83, 1.28, -0.03, -0.08, -0.13, -0.92, -9.76, -0.0033333333333333335, -0.0044444444444444444, -0.0011111111111111111, 1, 0, 0, 0.0003662109375, 0.11, -7.4, -6.78, 0, -0.18, -0.16, 0.11, -7.23, -6.62, -0.006666666666666667, 0, -0.013333333333333334
1666, 0.04766845703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.12, -0.96, -9.84, 1.28, 0, -0.07, -0.13, -0.92, -9.76, 0, -0.0033333333333333335, 0.0011111111111111111, 0.40283203125, -0.9151611328125, -0.01507568359375, 0.00018310546875, 0.11, -7.41, -6.78, 0, -0.17, -0.18, 0.11, -7.23, -6.62, 0.0011111111111111111, -0.0011111111111111111, 0.0011111111111111111
1690, 0.05548095703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.13, -0.93, -9.84, 0.01, 0, -0.06, -0.13, -0.92, -9.76, 0.0022222222222222222, -0.005555555555555556, 0.0011111111111111111, 0.40283203125, -0.9151611328125, -0.01507568359375, 0.00018310546875, 0.11, -7.41, -6.76, 0, -0.17, -0.17, 0.11, -7.23, -6.62, 0.005555555555555556, -0.0011111111111111111, 0
1714, 0.04766845703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.12, -0.91, -9.84, 0, -0.01, -0.08, -0.13, -0.92, -9.76, -0.0077777777777777776, -0.0044444444444444444, 0.0022222222222222222, 0.40283203125, -0.9151611328125, -0.01507568359375, 0.00018310546875, 0.12, -7.4, -6.79, 0, -0.18, -0.17, 0.11, -7.23, -6.62, 0.0022222222222222222, 0.0033333333333333335, 0.0033333333333333335
1738, 0.04766845703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.13, -0.93, -9.84, -0.01, 0.01, -0.06, -0.13, -0.92, -9.76, -0.0044444444444444444, -0.011111111111111112, 0.0011111111111111111, 0.40283203125, -0.9151611328125, -0.01513671875, 0.0001220703125, 0.12, -7.41, -6.79, 0, -0.19, -0.18, 0.11, -7.23, -5.34, 0, 0, 0.0077777777777777776
1763, 0.04766845703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.14, -0.91, -9.83, 0.01, 0.01, -0.05, -0.13, -0.92, -9.76, 0.0033333333333333335, -0.0011111111111111111, -0.0011111111111111111, 0.40283203125, -0.9151611328125, -0.01513671875, 0.0001220703125, 0.1, -7.4, -6.77, -0.02, -0.18, -0.16, 0.11, -7.23, -6.62, -0.0011111111111111111, -0.0033333333333333335, -0.005555555555555556
1786, 0.04766845703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.11, -0.9, -9.82, -0.01, -0.01, -0.08, -0.13, -0.92, -9.76, -0.005555555555555556, -0.0011111111111111111, -0.0011111111111111111, 0.40283203125, -0.9151611328125, -0.01513671875, 0.0001220703125, 0.09, -7.41, -6.78, 0, -0.21, -0.19, 0.11, -7.23, -6.62, -0.0033333333333333335, 0, -0.011111111111111112
1787, 0.04766845703125, -0.98919677734375, 0.138427734375, 0.00006103515625, -0.11, -0.9, -9.82, -0.01, -0.01, -0.08, -0.13, -0.92, -9.76, -0.005555555555555556, -0.0011111111111111111, -0.0011111111111111111, 0.40283203125, -0.9151611328125, -0.01513671875, 0.0001220703125, 0.09, -7.41, -6.78, 0, -0.21, -0.19, 0.11, -7.23, -6.62, -0.0033333333333333335, 0, -0.011111111111111112
