Time (ms), qw1, qx1, qy1, qz1, ax1, ay1, az1, lax1, lay1, laz1, grx1, gry1, grz1, gyrx1, gyry1, gyrz1, qw2, qx2, qy2, qz2, ax2, ay2, az2, lax2, lay2, laz2, grx2, gry2, grz2, gyrx2, gyry2, gyrz2
1493, 0.75390625, 0.0728759765625, -0.6529541015625, 0.00018310546875, 9.35, 1.05, 1.2, -0.3, -0.02, -0.13, 9.65, 1.07, 1.34, 0.14555555555555555, -0.0044444444444444444, 0, 0, 0, 0, 0, 5.47, -0.31, -8.31, 0, 0, 0, 1.28, 0, 9.8, 0.0033333333333333335, 0.005555555555555556, -0.0022222222222222222
1520, 0.76171875, 0.0728759765625, -0.6529541015625, 0.00018310546875, 9.35, 1.05, 1.2, -0.31, -0.04, -0.06, 9.65, 1.07, 1.34, 0.0022222222222222222, -0.0011111111111111111, -0.0011111111111111111, 0.0078125, 0, 0, 0, 6.64, -0.27, -8.33, 6.7, -0.28, -18.08, 0, 0, 9.8, -0.0033333333333333335, 0.021111111111111112, -0.0011111111111111111
1550, 0.76171875, 0.0728759765625, -0.6529541015625, 0.00018310546875, 9.34, 1.02, 1.27, -0.25, 0.01, 0.06, 9.65, 1.07, 1.34, 0.14666666666666667, 0, 0.0011111111111111111, 0, 0, 0, 0, 5.42, -0.28, -8.27, 6.61, -0.26, -18.03, 5.36, -0.28, -8.2, 0.14777777777777779, 0.014444444444444444, -0.0022222222222222222
1578, 0.76171875, 0.0728759765625, -0.6529541015625, 0.00018310546875, 9.3, 1.02, 1.24, -0.17, -0.06, 0, 9.65, 1.07, 1.34, 0.14333333333333334, -0.0077777777777777776, 0, 1, 0, 0, 0.00018310546875, 6.61, -0.26, -8.23, -0.06, -0.02, -0.06, 5.36, -0.28, -8.2, 0.15666666666666668, 0.02, -0.0044444444444444444
1606, 0.76171875, 0.0728759765625, -0.6529541015625, 0.00018310546875, 9.48, 1.01, 1.33, -0.34, 0.05, -0.03, 9.65, 1.07, 1.34, 0.1511111111111111, -0.011111111111111112, -0.0011111111111111111, 1, 0, 0, 0.00018310546875, 6.58, -0.3, -8.26, 0.13, -0.08, 0, 5.36, -0.28, -8.2, -0.0022222222222222222, 0.023333333333333334, -0.006666666666666667
1635, 0.75390625, 0.0728759765625, -0.6529541015625, 0.00018310546875, 9.31, 1.13, 1.3, -0.19, -0.03, 0.04, 9.65, 1.07, 1.33, 0.14333333333333334, -0.022222222222222223, -0.005555555555555556, 0.28570556640625, -0.04986572265625, -0.95703125, 0.00006103515625, 6.6, -0.3, -8.33, -0.02, -0.03, -0.15, 6.65, -0.28, -8.19, -0.01, 0.034444444444444444, -0.0011111111111111111
1662, 0.75390625, 0.07293701171875, -0.6529541015625, 0.000244140625, 9.46, 1.03, 1.38, -0.33, -0.02, -0.08, 9.65, 1.07, 1.33, 0.15444444444444444, -0.02666666666666667, -0.014444444444444444, 0.293701171875, -0.0498046875, -0.95697021484375, 0.00018310546875, 6.72, -0.38, -8.2, 0.06, -0.02, -0.11, 6.66, -0.28, -8.19, -0.012222222222222223, 0.028888888888888888, 0.0011111111111111111
1664, 0.75390625, 0.07293701171875, -0.6529541015625, 0.000244140625, 9.46, 1.03, 1.38, -0.33, -0.02, -0.08, 9.65, 1.07, 1.33, 0.15444444444444444, -0.02666666666666667, -0.014444444444444444, 0.285888671875, -0.0498046875, -0.95697021484375, 0.00018310546875, 6.72, -0.38, -8.2, 0.06, -0.02, -0.11, 6.66, -0.28, -8.19, -0.005555555555555556, 0.027777777777777776, -0.0011111111111111111
1692, 0.76171875, 0.07293701171875, -0.6529541015625, 0.000244140625, 9.38, 1.08, 1.42, -0.23, -0.06, -0.07, 9.65, 1.07, 1.32, 0.17222222222222222, -0.03777777777777778, -0.01, 0.2939453125, -0.0498046875, -0.9569091796875, 0.00030517578125, 6.69, -0.26, -8.25, 1.41, 0, -0.03, 6.66, -0.28, -8.18, -0.017777777777777778, 0.02666666666666667, 0.0011111111111111111
1719, 0.7615966796875, 0.07293701171875, -0.653076171875, 0.00018310546875, 9.44, 1, 1.24, -0.27, -0.14, 0, 9.65, 1.07, 1.31, 0.16333333333333333, -0.04666666666666667, -0.0077777777777777776, 0.2943115234375, -0.0498046875, -0.956787109375, 0.00030517578125, 5.52, -0.27, -8.23, 0.03, 0.04, -0.12, 6.67, -0.27, -8.18, -0.014444444444444444, 0.021111111111111112, -0.0033333333333333335
1720, 0.7615966796875, 0.07293701171875, -0.653076171875, 0.00018310546875, 9.44, 1, 1.24, -0.27, -0.14, 0, 9.65, 1.07, 1.31, 0.16333333333333333, -0.04666666666666667, -0.0077777777777777776, 0.2864990234375, -0.0498046875, -0.956787109375, 0.00030517578125, 6.73, -0.28, -8.25, 0.03, 0.04, -0.12, 6.67, -0.27, -8.18, -0.014444444444444444, 0.021111111111111112, -0.0033333333333333335
1745, 0.75360107421875, 0.07293701171875, -0.6533203125, 0.00018310546875, 9.45, 1.03, 1.33, -0.35, 0.02, 0.02, 9.65, 1.08, 1.3, 0.14777777777777779, -0.06111111111111111, -0.006666666666666667, 0.2947998046875, -0.0498046875, -0.9566650390625, 0.00018310546875, 6.72, -0.33, -8.27, 1.28, -0.04, -0.03, 6.67, -0.27, -8.18, -0.02, 0.024444444444444446, -0.0033333333333333335
1769, 0.7611083984375, 0.07305908203125, -0.65362548828125, 0.00018310546875, 9.26, 0.99, 1.32, -0.22, 0.05, 0.04, 9.66, 1.08, 1.28, 0.1511111111111111, -0.06333333333333334, -0.006666666666666667, 0.295166015625, -0.0498046875, -0.95654296875, 0.00006103515625, 6.67, -0.32, -8.22, -0.01, 0.05, -0.1, 6.68, -0.27, -8.17, -0.03222222222222222, 0.011111111111111112, -0.0044444444444444444
1795, 0.7607421875, 0.07342529296875, -0.65399169921875, 0.00030517578125, 9.43, 1.13, 1.35, -0.43, -0.07, -0.08, 9.66, 1.08, 1.26, 0.14222222222222222, -0.06666666666666667, -0.005555555555555556, 0.28753662109375, -0.04986572265625, -0.95648193359375, -0.0001220703125, 5.38, -0.22, -8.28, -0.02, -0.09, -0.06, 6.68, -0.26, -8.17, -0.022222222222222223, 0.0077777777777777776, -0.006666666666666667
1819, 0.76025390625, 0.0736083984375, -0.654541015625, 0.0003662109375, 9.22, 1, 1.2, -0.32, 0.04, 0, 9.66, 1.08, 1.25, 0.15444444444444444, -0.06666666666666667, -0.0011111111111111111, 0.287841796875, -0.0499267578125, -0.95635986328125, -0.000244140625, 5.38, -0.36, -8.24, 1.4, -0.06, -0.09, 5.4, -0.26, -8.17, -0.035555555555555556, 0.005555555555555556, -0.0044444444444444444
1843, 0.7598876953125, 0.0736083984375, -0.65496826171875, 0.0003662109375, 9.34, 1.13, 1.27, -0.15, 0, 0, 9.66, 1.08, 1.23, 0.14444444444444443, -0.058888888888888886, 0.012222222222222223, 0.29595947265625, -0.050048828125, -0.956298828125, -0.0006103515625, 6.81, -0.33, -8.26, 0.06, 0.05, -0.02, 6.68, -0.25, -8.17, -0.03111111111111111, 0.005555555555555556, -0.01
1867, 0.75146484375, 0.0736083984375, -0.6556396484375, 0.00030517578125, 9.5, 1.08, 1.25, -0.3, 0.02, -0.04, 9.66, 1.08, 1.22, -0.0044444444444444444, -0.057777777777777775, 0.016666666666666666, 0.2882080078125, -0.05010986328125, -0.95623779296875, -0.0008544921875, 6.79, -0.31, -8.23, 1.43, -0.04, -0.02, 6.68, -0.25, -8.17, -0.03222222222222222, 0.005555555555555556, -0.011111111111111112
1889, 0.7586669921875, 0.07373046875, -0.65631103515625, 0.000244140625, 9.39, 1.08, 1.24, -0.23, 0, -0.09, 9.67, 1.07, 1.21, 0.14555555555555555, -0.04555555555555556, 0.028888888888888888, 0.2960205078125, -0.0501708984375, -0.95623779296875, -0.001220703125, 5.55, -0.3, -8.2, -0.05, -0.05, -0.08, 6.68, -0.24, -8.17, -0.03333333333333333, 0.0011111111111111111, -0.011111111111111112
1912, 0.758056640625, 0.07379150390625, -0.65704345703125, 0.000244140625, 9.43, 1.08, 1.12, -0.21, -0.06, -0.01, 9.67, 1.07, 1.19, -0.0022222222222222222, -0.043333333333333335, 0.034444444444444444, 0.28826904296875, -0.05023193359375, -0.95623779296875, -0.00152587890625, 6.62, -0.3, -8.26, 1.31, -0.01, -0.03, 6.68, -0.23, -8.17, -0.03222222222222222, 0.012222222222222223, -0.008888888888888889
1937, 0.74969482421875, 0.07373046875, -0.65765380859375, 0.00030517578125, 9.46, 1.01, 1.18, -0.22, 0.08, 0, 9.67, 1.06, 1.18, 0.14222222222222222, -0.043333333333333335, 0.044444444444444446, 0.29608154296875, -0.05035400390625, -0.95623779296875, -0.001953125, 6.71, -0.25, -8.21, 1.37, 0.01, -0.09, 5.4, -0.23, -8.17, -0.042222222222222223, 0.0033333333333333335, -0.012222222222222223
1960, 0.7493896484375, 0.0736083984375, -0.65802001953125, 0.0003662109375, 9.45, 1.15, 1.2, -0.14, 0, 0.09, 9.67, 1.05, 1.17, -0.008888888888888889, -0.035555555555555556, 0.05, 0.28826904296875, -0.0504150390625, -0.95623779296875, -0.00225830078125, 6.78, -0.22, -8.26, -0.03, 0, -0.1, 6.68, -0.22, -8.17, -0.04111111111111111, 0.006666666666666667, -0.006666666666666667
1984, 0.74896240234375, 0.0733642578125, -0.6585693359375, 0.0006103515625, 9.53, 1.05, 1.28, -0.23, 0.11, 0, 9.67, 1.04, 1.17, 0.14777777777777779, -0.03666666666666667, 0.051111111111111114, 0.29608154296875, -0.05047607421875, -0.95623779296875, -0.0025634765625, 6.69, -0.16, -8.22, -0.01, -0.02, -0.08, 5.41, -0.21, -8.17, -0.043333333333333335, 0.008888888888888889, -0.0044444444444444444
2008, 0.7486572265625, 0.0731201171875, -0.65887451171875, 0.0008544921875, 9.44, 1.16, 1.17, -0.27, -0.03, -0.12, 9.68, 1.03, 1.16, -0.011111111111111112, -0.03666666666666667, 0.05333333333333334, 0.29608154296875, -0.05059814453125, -0.9561767578125, -0.0030517578125, 6.72, -0.23, -8.25, 1.28, -0.01, -0.07, 6.69, -0.2, -8.17, -0.04888888888888889, 0.014444444444444444, -0.006666666666666667
2031, 0.748291015625, 0.07275390625, -0.65936279296875, 0.00128173828125, 9.4, 1.01, 1.04, -0.28, 0.04, 0.07, 9.68, 1.02, 1.15, -0.014444444444444444, -0.04888888888888889, 0.051111111111111114, 0.29608154296875, -0.0506591796875, -0.9561767578125, -0.00341796875, 5.41, -0.23, -8.25, 1.29, 0.06, -0.13, 6.69, -0.19, -8.17, -0.04555555555555556, 0.016666666666666666, -0.0033333333333333335
2056, 0.74810791015625, 0.07244873046875, -0.65960693359375, 0.0015869140625, 9.39, 1.07, 1.23, -0.2, 0.02, -0.04, 9.68, 1.01, 1.14, -0.015555555555555555, -0.043333333333333335, 0.05333333333333334, 0.288330078125, -0.05072021484375, -0.9561767578125, -0.0037841796875, 6.7, -0.14, -8.31, 1.31, 0, 0, 5.41, -0.19, -8.17, -0.035555555555555556, 0.01, -0.0022222222222222222
2079, 0.74786376953125, 0.07208251953125, -0.659912109375, 0.001953125, 9.47, 1.04, 1.11, -0.27, -0.08, 0.04, 9.68, 0.99, 1.13, -0.0077777777777777776, -0.05333333333333334, 0.04777777777777778, 0.29608154296875, -0.05084228515625, -0.9561767578125, -0.00439453125, 5.44, -0.19, -8.16, 1.36, -0.01, -0.02, 5.41, -0.18, -8.17, -0.03111111111111111, 0.016666666666666666, -0.0033333333333333335
2103, 0.74749755859375, 0.071533203125, -0.660400390625, 0.00244140625, 9.41, 0.91, 1.18, -0.27, -0.01, -0.06, 9.69, 0.98, 1.12, -0.016666666666666666, -0.06, 0.04888888888888889, 0.28839111328125, -0.05096435546875, -0.9561767578125, -0.00482177734375, 6.77, -0.2, -8.2, 1.29, 0.02, -0.11, 6.69, -0.17, -8.17, -0.02666666666666667, 0.01888888888888889, -0.0022222222222222222
2127, 0.7471923828125, 0.07110595703125, -0.66082763671875, 0.002685546875, 9.41, 0.98, 1.07, -0.31, -0.03, 0.05, 9.69, 0.97, 1.11, -0.008888888888888889, -0.058888888888888886, 0.042222222222222223, 0.29632568359375, -0.05108642578125, -0.95611572265625, -0.00518798828125, 6.71, -0.15, -8.28, 1.37, 0.06, 0.02, 6.7, -0.17, -8.17, -0.034444444444444444, 0.01888888888888889, -0.005555555555555556
2153, 0.74688720703125, 0.07073974609375, -0.66119384765625, 0.00299072265625, 9.37, 0.94, 1.18, -0.24, -0.05, -0.04, 9.69, 0.96, 1.09, -0.0033333333333333335, -0.06, 0.03888888888888889, 0.29632568359375, -0.05120849609375, -0.9560546875, -0.0057373046875, 6.79, -0.11, -8.14, -0.05, -0.01, -0.1, 6.7, -0.16, -8.16, -0.02666666666666667, 0.025555555555555557, -0.0077777777777777776
2178, 0.746337890625, 0.0701904296875, -0.66180419921875, 0.00341796875, 9.45, 0.91, 1.06, -0.29, -0.07, -0.04, 9.69, 0.95, 1.08, -0.005555555555555556, -0.06777777777777778, 0.03222222222222222, 0.29644775390625, -0.05133056640625, -0.9560546875, -0.0059814453125, 6.72, -0.08, -8.28, -0.05, -0.02, -0.03, 6.7, -0.16, -8.16, -0.03111111111111111, 0.023333333333333334, -0.0022222222222222222
