Time (ms), qw1, qx1, qy1, qz1, ax1, ay1, az1, lax1, lay1, laz1, grx1, gry1, grz1, gyrx1, gyry1, gyrz1, qw2, qx2, qy2, qz2, ax2, ay2, az2, lax2, lay2, laz2, grx2, gry2, grz2, gyrx2, gyry2, gyrz2
1473, 0.77276611328125, 0.007568359375, -0.63470458984375, 0.00042724609375, 9.31, 0.17, 1.85, -0.3, 0.06, -0.05, 9.61, 0.1, 1.9, 0.14888888888888888, -0.0011111111111111111, -0.005555555555555556, 0, 0, 0, 0, 5.54, -0.18, -8.21, 0, 0, 0, 0, 0, 9.8, -0.0033333333333333335, -0.0011111111111111111, -0.0033333333333333335
1497, 0.78057861328125, 0.00762939453125, -0.63470458984375, 0.00048828125, 9.31, 0.17, 1.85, -0.31, 0.02, -0.01, 9.61, 0.1, 1.9, 0.013333333333333334, 0, -0.0022222222222222222, 0.0078125, 0, 0, 0, 5.49, -0.22, -8.2, 5.48, -0.22, -18.02, 1.28, 0, 9.8, -0.0011111111111111111, 0.0022222222222222222, -0.0022222222222222222
1523, 0.78057861328125, 0.00762939453125, -0.63470458984375, 0.00048828125, 9.3, 0.13, 1.88, -0.3, 0.03, 0.01, 9.61, 0.11, 1.9, 0.1511111111111111, 0.0077777777777777776, -0.0011111111111111111, 0, 0, 0, 0, 5.48, -0.22, -8.22, 6.81, -0.19, -18.01, 6.72, -0.21, -8.15, -0.006666666666666667, 0.0077777777777777776, -0.0022222222222222222
1547, 0.78057861328125, 0.00762939453125, -0.6346435546875, 0.00048828125, 9.32, 0.16, 1.81, -0.27, 0.04, -0.04, 9.61, 0.11, 1.9, 0.1511111111111111, -0.0033333333333333335, 0.0022222222222222222, 1.0078125, 0, 0, 0, 6.81, -0.19, -8.2, 1.29, -0.01, -0.07, 5.44, -0.21, -8.15, -0.0022222222222222222, -0.0011111111111111111, 0.0022222222222222222
1573, 0.78057861328125, 0.0076904296875, -0.6346435546875, 0.00054931640625, 9.34, 0.15, 1.85, -0.27, 0.05, -0.04, 9.61, 0.11, 1.9, 0, -0.005555555555555556, 0, 1.0078125, 0, 0, 0, 5.45, -0.23, -8.23, 1.33, 0, -0.03, 6.72, -0.21, -8.15, -0.0011111111111111111, -0.0044444444444444444, -0.0011111111111111111
1597, 0.77276611328125, 0.0076904296875, -0.6346435546875, 0.00054931640625, 9.35, 0.14, 1.86, -0.3, 0.01, 0.01, 9.61, 0.11, 1.9, -0.005555555555555556, -0.008888888888888889, 0, 0.29046630859375, -0.0384521484375, -0.95611572265625, 0, 6.78, -0.21, -8.18, 1.37, 0.02, -0.01, 5.44, -0.21, -8.15, 0.14222222222222222, 0.006666666666666667, -0.0011111111111111111
1622, 0.78057861328125, 0.00775146484375, -0.6346435546875, 0.00054931640625, 9.33, 0.16, 1.85, -0.27, 0.08, -0.03, 9.61, 0.11, 1.9, -0.005555555555555556, -0.0044444444444444444, -0.0033333333333333335, 0.29046630859375, -0.0384521484375, -0.95611572265625, 0, 5.54, -0.19, -8.16, 1.28, 0.01, -0.04, 6.72, -0.21, -8.15, -0.005555555555555556, 0.005555555555555556, -0.0033333333333333335
1646, 0.78057861328125, 0.0078125, -0.6346435546875, 0.0006103515625, 9.34, 0.19, 1.86, -0.29, 0.02, -0.02, 9.61, 0.11, 1.9, -0.006666666666666667, -0.01, -0.0044444444444444444, 0.29046630859375, -0.0384521484375, -0.95611572265625, 0, 6.71, -0.2, -8.19, 1.3, 0, -0.02, 5.44, -0.21, -8.15, 0.14777777777777779, 0.0022222222222222222, -0.0011111111111111111
1671, 0.78057861328125, 0.0078125, -0.6346435546875, 0.00054931640625, 9.32, 0.13, 1.88, -0.31, 0.04, -0.02, 9.61, 0.11, 1.9, -0.0033333333333333335, -0.0077777777777777776, -0.0033333333333333335, 0.29046630859375, -0.0384521484375, -0.95611572265625, 0, 5.47, -0.21, -8.17, 1.37, 0.03, -0.01, 6.72, -0.21, -8.15, -0.0033333333333333335, 0.0011111111111111111, 0
1696, 0.780517578125, 0.0078125, -0.63470458984375, 0.00054931640625, 9.34, 0.18, 1.84, -0.27, 0.02, -0.06, 9.61, 0.11, 1.9, -0.0022222222222222222, -0.008888888888888889, -0.0044444444444444444, 0.29046630859375, -0.0384521484375, -0.95611572265625, 0, 6.82, -0.18, -8.16, 1.31, 0.01, -0.04, 5.44, -0.21, -8.15, 0.0011111111111111111, 0.0044444444444444444, -0.0022222222222222222
