Time (ms), qw1, qx1, qy1, qz1, ax1, ay1, az1, lax1, lay1, laz1, grx1, gry1, grz1, gyrx1, gyry1, gyrz1, qw2, qx2, qy2, qz2, ax2, ay2, az2, lax2, lay2, laz2, grx2, gry2, grz2, gyrx2, gyry2, gyrz2
1464, 0.7677001953125, 0.0538330078125, -0.63836669921875, -0.01513671875, 9.38, 1.07, 1.62, -0.21, 0.04, -0.12, 9.59, 1.05, 1.74, 0.15888888888888889, -0.05444444444444444, -0.29555555555555557, 0, 0, 0, 0, 6.63, 0, -8.39, 0, 0, 0, 0, 0, 0, 0.21, 0.017777777777777778, 0.03222222222222222
1489, 0.77532958984375, 0.0548095703125, -0.63848876953125, -0.01617431640625, 9.38, 1.07, 1.62, -0.38, -0.01, -0.15, 9.58, 1.08, 1.74, 0.19, -0.03888888888888889, -0.2911111111111111, 0.0078125, 0, 0, 0, 6.48, -0.04, -8.31, 0, 0, 0, -0.01, 0.05, 9.8, 0.21555555555555556, 0.005555555555555556, 0.035555555555555556
1511, 0.77532958984375, 0.0548095703125, -0.63848876953125, -0.01617431640625, 9.2, 1.04, 1.58, -0.44, -0.02, -0.18, 9.58, 1.1, 1.73, 0.2411111111111111, -0.03111111111111111, -0.3022222222222222, 0.0078125, 0, 0, 0, 6.53, -0.09, -8.33, 6.65, -0.08, -18.09, -0.01, 0.07, 9.8, 0.10444444444444445, -0.006666666666666667, 0.043333333333333335
1537, 0.77508544921875, 0.0557861328125, -0.63861083984375, -0.0172119140625, 9.14, 1.05, 1.55, -0.26, -0.14, -0.16, 9.58, 1.16, 1.72, 0.24888888888888888, -0.042222222222222223, -0.3111111111111111, 1.0078125, 0.00250244140625, 0.00048828125, 0.00140380859375, 6.63, -0.02, -8.28, 6.74, -0.14, -18.09, 5.29, -0.08, -8.25, 0.12555555555555556, -0.011111111111111112, 0.043333333333333335
1569, 0.76708984375, 0.0567626953125, -0.63873291015625, -0.0181884765625, 9.31, 1.06, 1.54, -0.38, 0.04, -0.2, 9.57, 1.19, 1.72, 0.19777777777777777, -0.04666666666666667, -0.30444444444444446, 1, 0.00311279296875, 0.00067138671875, 0.00164794921875, 5.44, -0.07, -8.28, -0.03, -0.07, -0.1, 6.57, -0.12, -8.25, 0.20666666666666667, -0.005555555555555556, 0.03666666666666667
1595, 0.77459716796875, 0.0589599609375, -0.638916015625, -0.01995849609375, 9.19, 1.2, 1.52, -0.25, 0.06, 0.13, 9.57, 1.28, 1.7, -0.027777777777777776, -0.04, -0.29, 1, 0.003662109375, 0.0008544921875, 0.001953125, 6.53, -0.17, -8.36, 1.34, -0.08, -0.06, 6.57, -0.13, -8.25, 0.035555555555555556, -0.025555555555555557, 0.021111111111111112
1617, 0.7744140625, 0.06024169921875, -0.63897705078125, -0.020751953125, 9.31, 1.28, 1.85, -0.24, 0.14, 0.05, 9.56, 1.33, 1.7, 0.0077777777777777776, -0.0033333333333333335, -0.2833333333333333, 0.28912353515625, 0.00128173828125, -0.9595947265625, 0.005615234375, 6.64, -0.2, -8.32, 0.09, -0.01, -0.12, 5.29, -0.15, -8.25, 0.17444444444444446, -0.03111111111111111, 0.006666666666666667
1642, 0.7740478515625, 0.06280517578125, -0.63909912109375, -0.02252197265625, 9.32, 1.43, 1.76, -0.13, 0.02, -0.15, 9.55, 1.38, 1.69, 0.20444444444444446, 0.0077777777777777776, -0.2411111111111111, 0.2890625, 0.001220703125, -0.9595947265625, 0.00677490234375, 6.65, -0.21, -8.29, -0.08, -0.06, -0.05, 6.56, -0.16, -8.26, -0.006666666666666667, -0.02666666666666667, -0.0022222222222222222
1666, 0.765869140625, 0.06494140625, -0.6392822265625, -0.0245361328125, 9.43, 1.35, 1.54, -0.36, -0.02, -0.16, 9.54, 1.46, 1.69, -0.022222222222222223, 0.0011111111111111111, -0.18777777777777777, 0.2890625, 0.0009765625, -0.9595947265625, 0.0078125, 6.48, -0.21, -8.31, 0.03, -0.04, -0.05, 5.27, -0.16, -8.26, -0.04888888888888889, -0.03, -0.005555555555555556
1691, 0.7655029296875, 0.06658935546875, -0.639404296875, -0.02679443359375, 9.18, 1.38, 1.53, -0.39, 0.34, -0.03, 9.54, 1.49, 1.69, -0.07777777777777778, 0.021111111111111112, -0.13444444444444445, 0.2808837890625, 0.00079345703125, -0.959716796875, 0.00848388671875, 6.59, -0.2, -8.31, 0.15, -0.03, -0.03, 6.55, -0.15, -8.26, -0.06777777777777778, -0.03, -0.011111111111111112
