Time (ms), qw1, qx1, qy1, qz1, ax1, ay1, az1, lax1, lay1, laz1, grx1, gry1, grz1, gyrx1, gyry1, gyrz1, qw2, qx2, qy2, qz2, ax2, ay2, az2, lax2, lay2, laz2, grx2, gry2, grz2, gyrx2, gyry2, gyrz2
1629, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.12, -0.94, -9.84, 1.3, -0.01, -0.04, -0.14, -0.95, -9.75, 0.0022222222222222222, 0.005555555555555556, 0.0011111111111111111, 0, 0, 0, 0, -0.24, -6.71, -7.5, -0.27, -6.7, -17.29, -0.26, -6.54, -7.3, 0.0022222222222222222, -0.0022222222222222222, 0.0011111111111111111
1663, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.11, -0.97, -9.8, 1.31, 0, -0.06, -0.14, -0.95, -9.75, 0.14444444444444443, -0.0011111111111111111, 0, 1.0078125, 0, 0, 0.00030517578125, -0.26, -6.68, -7.48, -0.01, -0.16, -0.21, -0.26, -6.54, -7.3, -0.005555555555555556, -0.0022222222222222222, -0.0033333333333333335
1698, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.96, -9.83, 0, 0.01, -0.06, -0.14, -0.95, -9.75, -0.0011111111111111111, -0.0033333333333333335, 0, 1.0078125, 0, 0, 0.00030517578125, -0.27, -6.7, -7.51, -0.01, -0.16, -0.18, -0.26, -6.54, -7.3, -0.0011111111111111111, 0, 0.0022222222222222222
1730, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.94, -9.82, 0, 0, -0.04, -0.14, -0.95, -9.75, -0.0011111111111111111, -0.0077777777777777776, -0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.28, -6.7, -7.48, 0.01, -0.17, -0.16, -0.26, -6.54, -7.3, -0.0044444444444444444, -0.0033333333333333335, -0.0022222222222222222
1766, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.95, -9.8, 0, 0.02, -0.04, -0.14, -0.95, -9.75, 0.14222222222222222, 0.0011111111111111111, 0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.26, -6.7, -7.51, 1.28, -0.19, -0.18, -0.26, -6.54, -7.3, -0.0011111111111111111, -0.0011111111111111111, -0.0022222222222222222
1802, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.15, -0.96, -9.84, 1.29, 0, -0.07, -0.14, -0.95, -9.75, 0.0011111111111111111, -0.0022222222222222222, -0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.26, -6.73, -7.48, 1.28, -0.18, -0.2, -0.26, -6.54, -7.3, -0.0011111111111111111, -0.0033333333333333335, -0.0033333333333333335
1840, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.13, -0.96, -9.83, 0, 0, -0.04, -0.14, -0.95, -9.75, -0.0044444444444444444, -0.005555555555555556, 0, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.26, -6.72, -7.5, 0, -0.17, -0.2, -0.26, -6.54, -7.3, 0.0033333333333333335, 0.0011111111111111111, -0.0022222222222222222
1874, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.95, -9.84, 1.28, 0.01, -0.04, -0.14, -0.95, -9.75, 0.14333333333333334, 0.0011111111111111111, -0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.29, -6.69, -7.48, -0.01, -0.16, -0.19, -0.26, -6.54, -7.3, -0.0011111111111111111, 0, 0
1911, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.94, -9.8, 1.3, 0, -0.07, -0.14, -0.95, -9.75, 0.14333333333333334, 0.0044444444444444444, -0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.27, -6.7, -7.49, 1.28, -0.16, -0.21, -0.26, -6.54, -7.3, -0.0022222222222222222, 0, 0
1913, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.94, -9.8, 1.3, 0, -0.07, -0.14, -0.95, -9.75, 0.14333333333333334, 0.0044444444444444444, -0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.28, -6.72, -7.45, 1.28, -0.16, -0.21, -0.26, -6.54, -7.3, 0.14333333333333334, 0, -0.0044444444444444444
1915, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.94, -9.82, 0.02, 0, -0.07, -0.14, -0.95, -9.75, 0.0011111111111111111, 0.0044444444444444444, -0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.28, -6.72, -7.45, 0, -0.16, -0.21, -0.26, -6.54, -7.3, 0.14333333333333334, 0, -0.0044444444444444444
1956, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.12, -0.95, -9.83, 1.28, 0, -0.07, -0.14, -0.95, -9.75, -0.0044444444444444444, -0.0044444444444444444, -0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.25, -6.7, -7.51, 1.28, -0.18, -0.2, -0.26, -6.54, -7.3, -0.0011111111111111111, 0, 0.005555555555555556
1991, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.96, -9.83, 1.28, 0.01, -0.06, -0.14, -0.95, -9.75, -0.0011111111111111111, -0.0011111111111111111, 0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.25, -6.72, -7.5, 0, -0.17, -0.18, -0.26, -6.54, -7.3, 0, 0.0011111111111111111, 0.0022222222222222222
2025, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.13, -0.94, -9.82, 0.02, 0.02, -0.1, -0.14, -0.95, -9.75, 0.14444444444444443, 0.0033333333333333335, 0, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.26, -6.71, -7.48, 1.29, -0.18, -0.18, -0.26, -6.54, -7.3, 0.14333333333333334, 0.0022222222222222222, 0.0022222222222222222
2057, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.12, -0.93, -9.85, 1.29, 0, -0.09, -0.14, -0.95, -9.75, 0.14222222222222222, -0.0011111111111111111, 0, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.24, -6.72, -7.48, 1.28, -0.17, -0.2, -0.26, -6.54, -7.3, 0, -0.0022222222222222222, -0.005555555555555556
2091, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.13, -0.95, -9.84, 0, -0.01, -0.07, -0.14, -0.95, -9.75, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.25, -6.71, -7.5, 0, -0.15, -0.19, -0.26, -6.54, -7.3, -0.005555555555555556, 0, -0.0011111111111111111
2092, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.13, -0.95, -9.84, 1.29, 0, -0.06, -0.14, -0.95, -9.75, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.25, -6.71, -7.5, 1.28, -0.17, -0.18, -0.26, -6.54, -7.3, -0.0022222222222222222, 0, -0.0033333333333333335
2125, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.13, -0.95, -9.82, 1.28, 0, -0.05, -0.14, -0.95, -9.75, 0.14444444444444443, 0.0033333333333333335, 0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.26, -6.71, -7.48, 1.28, -0.17, -0.18, -0.26, -6.54, -7.3, 0.0011111111111111111, 0, -0.0011111111111111111
2155, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.96, -9.81, 1.3, 0.01, -0.05, -0.14, -0.95, -9.75, 0.14555555555555555, 0.005555555555555556, -0.0033333333333333335, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.26, -6.71, -7.48, 0, -0.18, -0.2, -0.26, -6.54, -7.3, 0.0033333333333333335, -0.0022222222222222222, 0
2186, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.12, -0.94, -9.81, 0.01, -0.01, -0.07, -0.14, -0.95, -9.75, 0.14222222222222222, -0.0011111111111111111, -0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.26, -6.72, -7.5, -0.03, -0.18, -0.16, -0.26, -6.54, -7.3, 0.0011111111111111111, 0.0033333333333333335, 0.0011111111111111111
2217, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.14, -0.96, -9.84, 0.02, 0, -0.03, -0.14, -0.95, -9.75, -0.0033333333333333335, 0.0011111111111111111, 0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.29, -6.72, -7.46, -0.02, -0.15, -0.15, -0.26, -6.54, -7.3, -0.0022222222222222222, -0.0011111111111111111, -0.006666666666666667
2249, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.12, -0.96, -9.82, 1.29, 0, -0.05, -0.14, -0.95, -9.75, -0.0022222222222222222, -0.0011111111111111111, -0.0022222222222222222, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.28, -6.69, -7.45, 1.28, -0.17, -0.18, -0.26, -6.54, -7.3, 0, -0.0033333333333333335, -0.0011111111111111111
2279, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.13, -0.96, -9.81, 1.29, 0, -0.09, -0.14, -0.95, -9.75, 0.0011111111111111111, -0.0077777777777777776, -0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.25, -6.71, -7.48, -0.03, -0.16, -0.18, -0.26, -6.54, -7.3, 0.14777777777777779, 0.0044444444444444444, -0.0044444444444444444
2309, 0.04949951171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.12, -0.95, -9.84, 0, -0.01, -0.04, -0.14, -0.95, -9.75, -0.0033333333333333335, -0.0033333333333333335, -0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.29, -6.7, -7.48, 1.28, -0.17, -0.19, -0.26, -6.54, -7.3, -0.0022222222222222222, -0.0022222222222222222, 0.0011111111111111111
2310, 0.05731201171875, -0.9876708984375, 0.1485595703125, 0.00006103515625, -0.13, -0.95, -9.82, 1.28, -0.02, -0.03, -0.14, -0.95, -9.75, 0.14333333333333334, 0.0044444444444444444, 0.0011111111111111111, 0.3572998046875, -0.9332275390625, 0.037353515625, 0.0001220703125, -0.29, -6.7, -7.48, 0, -0.17, -0.19, -0.26, -6.54, -7.3, -0.0022222222222222222, -0.0022222222222222222, 0.0011111111111111111
