Time (ms), qw1, qx1, qy1, qz1, ax1, ay1, az1, lax1, lay1, laz1, grx1, gry1, grz1, gyrx1, gyry1, gyrz1, qw2, qx2, qy2, qz2, ax2, ay2, az2, lax2, lay2, laz2, grx2, gry2, grz2, gyrx2, gyry2, gyrz2
1475, 0.697021484375, 0.71612548828125, 0.03656005859375, -0.000732421875, -0.49, 9.49, -0.31, 1.29, -0.29, -0.04, -0.5, 9.78, -0.27, -0.034444444444444444, -0.014444444444444444, 0.0011111111111111111, 0.0078125, 0, 0, 0, 3.12, -9.45, 1.25, 1.28, 0, 0, 1.28, -0.01, 9.8, -0.03777777777777778, -0.005555555555555556, 0.035555555555555556
1501, 0.69708251953125, 0.71600341796875, 0.03656005859375, -0.000732421875, -0.49, 9.49, -0.31, 1.29, -0.28, -0.02, -0.5, 9.78, -0.26, -0.028888888888888888, -0.015555555555555555, 0.0044444444444444444, 0, 0, 0, 0, 4.3, -9.39, 1.28, 3.1, -9.38, -8.5, 0, -0.02, 9.8, -0.06888888888888889, -0.0011111111111111111, 0.05444444444444444
1527, 0.69708251953125, 0.71600341796875, 0.03656005859375, -0.000732421875, -0.49, 9.5, -0.29, 1.28, -0.3, -0.01, -0.5, 9.78, -0.26, -0.03888888888888889, -0.008888888888888889, 0.0077777777777777776, 0, 0, 0, 0, 3.1, -9.4, 1.29, 4.44, -9.45, -8.36, 3.04, -9.22, 1.35, -0.08, -0.0022222222222222222, 0.07111111111111111
1553, 0.69720458984375, 0.7159423828125, 0.0364990234375, -0.000732421875, -0.51, 9.48, -0.28, -0.01, -0.27, 0.04, -0.5, 9.78, -0.25, -0.03888888888888889, -0.011111111111111112, 0.0011111111111111111, 1.0078125, -0.00103759765625, 0, 0.00128173828125, 4.44, -9.48, 1.44, 0.03, -0.21, -0.01, 4.3, -9.23, 1.32, -0.05555555555555555, -0.011111111111111112, 0.05333333333333334
1580, 0.69732666015625, 0.7158203125, 0.03643798828125, -0.00079345703125, -0.53, 9.48, -0.24, 1.29, -0.28, 0.01, -0.5, 9.79, -0.25, -0.04555555555555556, -0.0077777777777777776, 0.0033333333333333335, 1.0078125, -0.00140380859375, 0, 0.00164794921875, 4.29, -9.42, 1.28, -0.03, -0.21, -0.06, 3.01, -9.23, 1.31, -0.025555555555555557, -0.0033333333333333335, 0.017777777777777778
1608, 0.69757080078125, 0.715576171875, 0.03631591796875, -0.00091552734375, -0.49, 9.5, -0.23, -0.04, -0.29, -0.01, -0.51, 9.79, -0.24, -0.04666666666666667, -0.013333333333333334, 0.0044444444444444444, 0.76177978515625, -0.6236572265625, -0.20635986328125, 0.0013427734375, 4.26, -9.45, 1.25, -0.09, -0.2, -0.18, 4.28, -9.24, 1.3, -0.0033333333333333335, 0.0033333333333333335, 0.0077777777777777776
1637, 0.69769287109375, 0.7154541015625, 0.03631591796875, -0.00091552734375, -0.55, 9.49, -0.26, -0.05, -0.41, -0.09, -0.51, 9.79, -0.23, -0.08666666666666667, -0.01888888888888889, 0.006666666666666667, 0.76129150390625, -0.62432861328125, -0.2059326171875, 0.001708984375, 4.19, -9.44, 1.12, -0.05, -0.21, -0.18, 4.27, -9.24, 1.29, 0.1688888888888889, 0.005555555555555556, -0.023333333333333334
1638, 0.69781494140625, 0.71533203125, 0.03631591796875, -0.00091552734375, -0.55, 9.49, -0.26, -0.05, -0.26, -0.08, -0.51, 9.79, -0.23, -0.08666666666666667, -0.01888888888888889, 0.006666666666666667, 0.76104736328125, -0.62469482421875, -0.205810546875, 0.00189208984375, 4.19, -9.44, 1.12, -0.05, -0.21, -0.18, 4.27, -9.24, 1.29, 0.02666666666666667, 0.005555555555555556, -0.023333333333333334
1666, 0.69805908203125, 0.715087890625, 0.03619384765625, -0.00103759765625, -0.56, 9.52, -0.32, -0.05, -0.14, -0.06, -0.51, 9.79, -0.2, -0.07111111111111111, -0.012222222222222223, 0.0044444444444444444, 0.76068115234375, -0.625244140625, -0.20562744140625, 0.00225830078125, 2.94, -9.45, 1.11, -0.01, -0.21, -0.26, 4.28, -9.24, 1.3, 0.02666666666666667, 0.008888888888888889, -0.02666666666666667
1694, 0.69830322265625, 0.71484375, 0.03619384765625, -0.00103759765625, -0.56, 9.64, -0.29, 1.28, -0.31, -0.02, -0.51, 9.79, -0.19, -0.025555555555555557, -0.011111111111111112, 0.0033333333333333335, 0.76031494140625, -0.625732421875, -0.20538330078125, 0.0025634765625, 4.26, -9.45, 1.03, 1.33, -0.17, 0, 3, -9.24, 1.3, 0.14777777777777779, 0.011111111111111112, -0.0011111111111111111
1722, 0.698974609375, 0.7142333984375, 0.03607177734375, -0.001220703125, -0.51, 9.47, -0.23, 0.02, -0.36, 0.01, -0.51, 9.79, -0.18, -0.0044444444444444444, -0.0011111111111111111, 0.0011111111111111111, 0.76025390625, -0.6258544921875, -0.20538330078125, 0.0025634765625, 4.33, -9.42, 1.29, 1.35, -0.21, 0.03, 3.01, -9.24, 1.3, 0.14444444444444443, -0.0022222222222222222, -0.006666666666666667
