Time (ms), qw1, qx1, qy1, qz1, ax1, ay1, az1, lax1, lay1, laz1, grx1, gry1, grz1, gyrx1, gyry1, gyrz1, qw2, qx2, qy2, qz2, ax2, ay2, az2, lax2, lay2, laz2, grx2, gry2, grz2, gyrx2, gyry2, gyrz2
1591, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.15, -0.32, -9.86, -0.01, 0, -0.04, -0.16, -0.34, -9.79, -0.0011111111111111111, 0, 0.0011111111111111111, 1.0078125, 0, 0, 0, 1.01, 5.1, -8.11, 0.99, 5.08, -17.88, 0, 0, 9.8, 0, 0.0011111111111111111, -0.0011111111111111111
1612, 0.02740478515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.17, -0.33, -9.83, 0, -0.01, -0.06, -0.16, -0.34, -9.79, -0.0044444444444444444, -0.0044444444444444444, 0, 1, 0, 0, 0, 0.99, 5.08, -8.07, -0.02, -0.1, 0.16, 1.02, 5.2, -8.25, 0, 0.0011111111111111111, -0.0033333333333333335
1631, 0.02740478515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.16, -0.35, -9.86, 1.29, 0, -0.06, -0.16, -0.34, -9.79, -0.005555555555555556, 0, -0.0011111111111111111, 1, 0, 0, 0, 1, 5.09, -8.08, -0.02, -0.1, 0.12, 1.02, 5.2, -8.25, -0.0033333333333333335, 0, -0.0022222222222222222
1651, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.15, -0.35, -9.86, 0.01, 0, -0.06, -0.16, -0.34, -9.79, -0.0011111111111111111, -0.0033333333333333335, -0.0011111111111111111, 0.28167724609375, 0.94122314453125, -0.18634033203125, 0, 1, 5.09, -8.12, -0.01, -0.12, 0.15, 1.02, 5.2, -8.25, 0.0022222222222222222, 0, -0.0011111111111111111
1670, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.14, -0.33, -9.85, 0, -0.02, -0.08, -0.16, -0.34, -9.79, -0.0033333333333333335, 0.0022222222222222222, -0.0022222222222222222, 0.28167724609375, 0.94122314453125, -0.18634033203125, 0, 1.01, 5.07, -8.09, 0, -0.09, 0.15, 1.02, 5.2, -8.25, 0, -0.0011111111111111111, -0.0022222222222222222
1689, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.15, -0.36, -9.88, 0, 0, -0.07, -0.16, -0.34, -9.79, 0, 0, -0.0022222222222222222, 0.28167724609375, 0.94122314453125, -0.18634033203125, 0, 1.02, 5.1, -8.09, -0.02, -0.09, 0.13, 1.02, 5.2, -8.25, -0.0022222222222222222, 0.0044444444444444444, -0.0011111111111111111
1709, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.16, -0.34, -9.87, 0, 0, -0.04, -0.16, -0.34, -9.79, 0, -0.0044444444444444444, -0.0022222222222222222, 0.28167724609375, 0.94122314453125, -0.18634033203125, 0, 1, 5.1, -8.11, -0.01, -0.1, 0.14, 1.02, 5.2, -8.25, 0.0033333333333333335, 0.005555555555555556, -0.0022222222222222222
1728, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.16, -0.33, -9.84, 0, 0, -0.05, -0.16, -0.34, -9.79, -0.0011111111111111111, -0.0022222222222222222, -0.0011111111111111111, 0.28167724609375, 0.94122314453125, -0.18634033203125, 0, 1.01, 5.09, -8.1, -0.04, -0.1, 0.15, 1.02, 5.2, -8.25, -0.0022222222222222222, -0.0044444444444444444, -0.0011111111111111111
1748, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.15, -0.34, -9.84, 0, -0.02, -0.07, -0.16, -0.34, -9.79, -0.0011111111111111111, -0.0011111111111111111, 0, 0.28167724609375, 0.94122314453125, -0.18634033203125, 0, 0.98, 5.09, -8.09, -0.04, -0.12, 0.19, 1.02, 5.2, -8.25, -0.0022222222222222222, -0.0033333333333333335, -0.0022222222222222222
1768, 0.01959228515625, -0.9049072265625, 0.42523193359375, 0.0001220703125, -0.16, -0.36, -9.87, 0, 0, -0.03, -0.16, -0.34, -9.79, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, 0.28167724609375, 0.94122314453125, -0.18634033203125, 0, 0.98, 5.07, -8.05, -0.04, -0.12, 0.15, 1.02, 5.19, -8.25, -0.0011111111111111111, 0.0044444444444444444, 0.0011111111111111111
