time (ms),qx,qy,qz,qw,qx2,qy2,qz2,qw2,gx1,gy1,gz1,gx2,gy2,gz2,ax1,ay1,az1,ax2,ay2,az2,lx1,ly1,lz1,lx2,ly2,lz2,grx1,gry1,grz1,grx2,gry2,grz2
38,-0.74725341796875,-0.1866455078125,-0.60784912109375,0.2008056640625,0.93524169921875,0.27618408203125,-0.20379638671875,0.08648681640625,-0.035555555555555556,-0.0022222222222222222,0.035555555555555556,0.014444444444444444,-0.011111111111111112,-0.0044444444444444444,9.64,-0.5,-1.74,-2.93,0.34,-8.86,1.32,0.01,0.13,1.28,-0.13,-0.02,9.61,-0.61,-1.82,-2.92,0.47,-8.84
69,-0.7474365234375,-0.18597412109375,-0.60791015625,0.20068359375,0.935302734375,0.276123046875,-0.20391845703125,0.08624267578125,-0.024444444444444446,-0.0011111111111111111,0.028888888888888888,0.012222222222222223,-0.01,-0.0033333333333333335,9.61,-0.55,-1.72,-3.02,0.34,-8.78,1.28,0.05,0.09,-0.06,-0.18,0.07,9.61,-0.61,-1.82,-4.2,0.47,-8.84
104,-0.74749755859375,-0.18548583984375,-0.60797119140625,0.19287109375,0.935302734375,0.276123046875,-0.20391845703125,0.08624267578125,-0.03,0.0044444444444444444,0.022222222222222223,0.15222222222222223,0.01,0.0,9.66,-0.59,-1.79,-4.29,0.31,-8.84,1.33,0.05,0.08,-0.04,-0.14,0.0,9.61,-0.62,-1.82,-2.92,0.47,-8.84
138,-0.74761962890625,-0.1849365234375,-0.6080322265625,0.20062255859375,0.935302734375,0.276123046875,-0.20379638671875,0.086181640625,-0.021111111111111112,0.015555555555555555,0.022222222222222223,0.14444444444444443,0.0022222222222222222,-0.0011111111111111111,9.66,-0.54,-1.74,-2.98,0.32,-8.8,1.31,0.04,0.1,-0.05,-0.15,0.03,9.61,-0.62,-1.82,-2.92,0.47,-8.84
169,-0.74755859375,-0.1844482421875,-0.60821533203125,0.20068359375,0.935302734375,0.276123046875,-0.20379638671875,0.086181640625,-0.008888888888888889,0.017777777777777778,0.034444444444444444,0.0022222222222222222,0.0077777777777777776,0.0022222222222222222,9.66,-0.54,-1.73,-2.94,0.31,-8.83,1.32,0.08,0.08,-0.02,-0.12,0.02,9.61,-0.63,-1.81,-4.2,0.47,-8.84
204,-0.74749755859375,-0.18402099609375,-0.60833740234375,0.1932373046875,0.935302734375,0.276123046875,-0.20379638671875,0.086181640625,-0.0077777777777777776,0.02666666666666667,0.044444444444444446,0.14555555555555555,0.01,-0.0022222222222222222,9.65,-0.59,-1.73,-2.98,0.33,-8.83,1.28,0.0,0.12,-0.06,-0.14,0.01,9.61,-0.64,-1.8,-2.92,0.47,-8.84
238,-0.74725341796875,-0.18328857421875,-0.608642578125,0.20166015625,0.935302734375,0.276123046875,-0.20367431640625,0.08612060546875,0.15222222222222223,0.03222222222222222,0.03777777777777778,-0.0033333333333333335,0.012222222222222223,-0.0033333333333333335,9.64,-0.64,-1.7,-2.95,0.32,-8.82,-0.01,0.01,0.05,-0.03,-0.15,0.02,9.61,-0.65,-1.79,-4.19,0.47,-8.84
268,-0.74700927734375,-0.1829833984375,-0.60888671875,0.20220947265625,0.9354248046875,0.27618408203125,-0.20330810546875,0.0860595703125,0.16333333333333333,0.03111111111111111,0.028888888888888888,-0.006666666666666667,0.024444444444444446,-0.0011111111111111111,9.65,-0.63,-1.72,-2.96,0.34,-8.81,1.32,0.04,0.06,1.28,-0.15,0.03,9.61,-0.67,-1.78,-2.91,0.47,-8.85
302,-0.7467041015625,-0.18280029296875,-0.609130859375,0.20269775390625,0.93548583984375,0.27618408203125,-0.2030029296875,0.0859375,0.14888888888888888,0.03222222222222222,0.02666666666666667,-0.0077777777777777776,0.01888888888888889,-0.0011111111111111111,9.65,-0.58,-1.65,-4.2,0.34,-8.85,1.31,0.08,0.12,-0.03,-0.13,0.01,9.62,-0.67,-1.77,-2.9,0.47,-8.85
338,-0.74627685546875,-0.18243408203125,-0.60955810546875,0.19549560546875,0.935546875,0.2762451171875,-0.2027587890625,0.08587646484375,0.16777777777777778,0.035555555555555556,0.03333333333333333,-0.008888888888888889,0.011111111111111112,-0.0033333333333333335,9.63,-0.56,-1.66,-2.89,0.37,-8.83,1.29,0.11,0.11,0.0,-0.1,0.02,9.62,-0.68,-1.76,-4.18,0.47,-8.85
