time,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2
6,0,0,0,65532,65522,65521,0,0,0,13,65532,65534
33,0,0,0,65532,65522,65521,0,0,0,7,0,2
58,0,0,0,2,65527,65521,0,0,0,7,0,2
83,0,0,0,13,65526,65526,0,0,0,13,2,65531
109,0,0,0,13,65526,65526,0,0,0,13,2,65530
127,0,0,0,9,65528,65523,0,0,0,13,2,65530
147,0,0,0,9,65528,65523,0,0,0,12,1,65528
164,0,0,0,5,65531,65522,0,0,0,12,1,65528
181,0,0,0,5,65531,65522,0,0,0,12,1,65528
200,0,0,0,26,65518,65535,64698,1677,65096,13,2,4
219,64740,63996,1148,26,65518,65535,64698,1677,65096,13,2,4
237,64740,63996,1148,26,65518,65535,64698,1677,65096,0,65534,1
254,64740,63996,1148,4,65526,65521,64698,1677,65096,0,65534,1
274,64740,63996,1148,4,65526,65521,64693,1694,65089,65519,65529,65523
291,64736,63989,1161,65510,65535,65505,64693,1694,65089,65519,65529,65523
309,64736,63989,1161,65510,65535,65505,64693,1694,65089,65507,65531,65521
327,64736,63989,1161,65490,4,65503,64693,1694,65089,65507,65531,65521
346,64736,63989,1161,65490,4,65503,64694,1690,65097,65509,5,65514
363,64740,63985,1153,65484,8,65509,64694,1690,65097,65509,5,65514
382,64740,63985,1153,65484,8,65509,64694,1690,65097,65509,5,65514
400,64740,63985,1153,65484,8,65509,64694,1690,65097,65518,6,65511
417,64740,63985,1153,65476,15,65515,64694,1690,65097,65518,6,65511
434,64740,63985,1153,65476,15,65515,64694,1690,65101,65516,14,65508
454,64739,63981,1153,65458,26,65521,64694,1690,65101,65516,14,65508
471,64739,63981,1153,65458,26,65521,64694,1690,65101,65477,43,65500
489,64739,63981,1153,65383,62,65519,64694,1690,65101,65477,43,65500
506,64739,63981,1153,65383,62,65519,64696,1690,65097,65387,95,65523
526,64732,63978,1145,65337,62,65487,64696,1690,65097,65387,95,65523
543,64732,63978,1145,65337,62,65487,64696,1690,65097,65387,95,65523
560,64732,63978,1145,65337,62,65487,64696,1690,65097,65296,77,7
578,64732,63978,1145,65300,76,65470,64696,1690,65097,65296,77,7
594,64732,63978,1145,65300,76,65470,64689,1695,65109,65296,60,10
610,64732,63956,1122,65298,79,65471,64689,1695,65109,65296,60,10
626,64732,63956,1122,65298,79,65471,64689,1695,65109,65309,81,43
643,64732,63956,1122,65298,79,65471,64689,1695,65109,65309,81,43
659,64732,63956,1122,65339,49,65463,64689,1695,65109,65309,81,43
676,64732,63956,1122,65339,49,65463,64694,1696,65137,65308,166,79
693,64736,63944,1105,65301,78,65496,64694,1696,65137,65308,166,79
709,64736,63944,1105,65301,78,65496,64694,1696,65137,65313,249,85
725,64736,63944,1105,65391,49,65523,64694,1696,65137,65313,249,85
742,64736,63944,1105,65391,49,65523,64694,1696,65137,65313,249,85
759,64736,63944,1105,65391,49,65523,64697,1701,65145,65385,232,177
775,64723,63921,1082,22,65515,35,64697,1701,65145,65385,232,177
791,64723,63921,1082,22,65515,35,64697,1701,65145,65435,207,237
809,64723,63921,1082,90,65503,71,64697,1701,65145,65435,207,237
825,64723,63921,1082,90,65503,71,64727,1713,65144,65465,351,272
842,64723,63921,1082,90,65503,71,64727,1713,65144,65465,351,272
861,64725,63937,1094,139,65484,79,64727,1713,65144,65465,351,272
879,64725,63937,1094,139,65484,79,64727,1713,65144,65424,312,289
895,64725,63937,1094,118,65479,69,64727,1713,65144,65424,312,289
911,64725,63937,1094,118,65479,69,64764,1738,65128,65321,231,305
928,64725,63937,1094,6,65497,33,64764,1738,65128,65321,231,305
945,64714,63964,1118,6,65497,33,64764,1738,65128,65130,102,356
961,64714,63964,1118,6,65497,33,64764,1738,65128,65130,102,356
977,64714,63964,1118,65336,65418,65450,64764,1738,65128,65130,102,356
995,64714,63964,1118,65336,65418,65450,64767,1770,65113,64796,65100,451
1011,64538,63935,1342,65047,64868,65056,64767,1770,65113,64796,65100,451
1027,64538,63935,1342,65047,64868,65056,64767,1770,65113,64600,65055,582
1043,64538,63935,1342,65047,64868,65056,64767,1770,65113,64600,65055,582
1061,64538,63935,1342,64450,63633,64712,64767,1770,65113,64600,65055,582
1081,64538,63935,1342,64450,63633,64712,64824,1935,64925,64009,219,663
1098,64275,64375,1799,64131,61967,65473,64824,1935,64925,64009,219,663
1117,64275,64375,1799,64131,61967,65473,64824,1935,64925,62921,1565,65446
1135,64275,64375,1799,63623,61765,639,64824,1935,64925,62921,1565,65446
1152,64275,64375,1799,63623,61765,639,64865,1962,64619,63173,2659,64802
1170,64275,64375,1799,63623,61765,639,64865,1962,64619,63173,2659,64802
1187,64302,64144,1058,64632,63474,366,64865,1962,64619,65192,1906,65339
1207,64302,64144,1058,64632,63474,366,64865,1962,64619,65192,1906,65339
1224,64302,64144,1058,65362,64783,1084,64865,1962,64619,406,1590,64891
1243,64302,64144,1058,65362,64783,1084,64506,1643,64301,406,1590,64891
1262,64063,64349,1155,65336,64767,2347,64506,1643,64301,406,1590,64891
1279,64063,64349,1155,65336,64767,2347,64506,1643,64301,522,2117,64414
1297,64063,64349,1155,65191,64885,2703,64506,1643,64301,522,2117,64414
1315,64063,64349,1155,65191,64885,2703,64498,1821,64890,571,2640,64057
1332,64063,64349,1155,64615,64579,3074,64498,1821,64890,571,2640,64057
1350,64456,63991,1197,64615,64579,3074,64498,1821,64890,291,3404,63582
1381,64456,63991,1197,64122,64239,3353,64498,1821,64890,291,3404,63582
1397,64456,63991,1197,64122,64239,3353,64756,1851,65287,65128,3211,63431
1415,64771,63876,1209,63988,63876,3228,64756,1851,65287,65128,3211,63431
1434,64771,63876,1209,63988,63876,3228,64756,1851,65287,64763,3344,63576
1452,64771,63876,1209,63988,63876,3228,64756,1851,65287,64763,3344,63576
1469,64771,63876,1209,64206,63448,3423,64937,1631,65213,64716,3822,63800
1487,64771,63876,1209,64206,63448,3423,64937,1631,65213,64716,3822,63800
1505,64620,64316,1186,64373,62993,3952,64937,1631,65213,64526,4575,63881
1523,64620,64316,1186,64373,62993,3952,64937,1631,65213,64526,4575,63881
1540,64620,64316,1186,64098,62416,4297,64937,1631,65213,64526,4575,63881
1560,64620,64316,1186,64098,62416,4297,64937,1414,64763,64409,5398,63992
1576,64620,64316,1186,64900,62716,4248,64937,1414,64763,64409,5398,63992
1594,64105,64518,1077,64900,62716,4248,64937,1414,64763,65093,4718,64537
1613,64105,64518,1077,64900,62716,4248,64937,1414,64763,65093,4718,64537
1631,64105,64518,1077,65417,63052,4223,64558,1252,64298,65292,4346,64709
1649,64105,64518,1077,65417,63052,4223,64558,1252,64298,65292,4346,64709
1668,63663,64482,949,65245,62923,4160,64558,1252,64298,65281,4324,64826
1685,63663,64482,949,65245,62923,4160,64558,1252,64298,65281,4324,64826
1703,63663,64482,949,65340,63016,3914,64558,1252,64298,65281,4324,64826
1721,63663,64482,949,65340,63016,3914,64374,1170,64343,65285,4221,64875
1738,63663,64482,949,65031,63239,3693,64374,1170,64343,65285,4221,64875
1756,63792,64498,872,65031,63239,3693,64374,1170,64343,65249,4101,64755
1773,63792,64498,872,65031,63239,3693,64374,1170,64343,65249,4101,64755
1792,63792,64498,872,65009,63535,3497,64644,1218,64570,65315,3965,64715
1810,63792,64498,872,65009,63535,3497,64644,1218,64570,65315,3965,64715
1826,64255,64523,907,65127,63747,3458,64644,1218,64570,65039,2897,64732
1844,64255,64523,907,65127,63747,3458,64644,1218,64570,65039,2897,64732
1863,64255,64523,907,65175,63954,2956,64644,1218,64570,65488,3328,64979
1881,64255,64523,907,65175,63954,2956,64849,1261,64773,65488,3328,64979
1898,64255,64523,907,65175,63954,2956,64849,1261,64773,65488,3328,64979
1917,64463,64364,941,65395,64160,2360,64849,1261,64773,169,3154,65084
1934,64463,64364,941,65395,64160,2360,64849,1261,64773,169,3154,65084
1950,64463,64364,941,64796,64501,1849,64812,1394,64746,64844,1725,64781
1968,64463,64364,941,64796,64501,1849,64812,1394,64746,64844,1725,64781
1984,64346,64527,1111,63953,64666,1136,64812,1394,64746,64608,1651,64487
2000,64346,64527,1111,63953,64666,1136,64812,1394,64746,64608,1651,64487
2021,64346,64527,1111,63643,64926,592,64812,1394,64746,64608,1651,64487
2038,64346,64527,1111,63643,64926,592,64978,1369,64352,64491,1142,64419
2054,64346,64527,1111,63643,64926,592,64978,1369,64352,64491,1142,64419
2073,64249,65031,1360,63772,64877,748,64978,1369,64352,64403,1135,64395
2091,64249,65031,1360,63772,64877,748,64978,1369,64352,64403,1135,64395
2110,64249,65031,1360,63715,64385,1442,65054,1299,64497,63999,1428,64184
2127,64249,65031,1360,63715,64385,1442,65054,1299,64497,63999,1428,64184
2146,64311,64847,1287,63550,63905,1795,65054,1299,64497,63627,1803,64149
2163,64311,64847,1287,63550,63905,1795,65054,1299,64497,63627,1803,64149
2179,64311,64847,1287,63550,63905,1795,65054,1299,64497,63627,1803,64149
2198,64311,64847,1287,62680,63054,1326,64592,1369,64930,63090,1534,64161
2216,64311,64847,1287,62680,63054,1326,64592,1369,64930,63090,1534,64161
2235,64144,63983,718,60954,62405,65295,64592,1369,64930,61981,651,63879
2251,64144,63983,718,60954,62405,65295,64592,1369,64930,61981,651,63879
2269,64144,63983,718,61007,63976,64794,64048,1368,64974,62343,864,63241
2287,64144,63983,718,61007,63976,64794,64048,1368,64974,62343,864,63241
2305,64144,63983,718,61007,63976,64794,64048,1368,64974,62146,983,62104
2323,63970,63520,716,59906,64487,65124,64048,1368,64974,62146,983,62104
2340,63970,63520,716,59906,64487,65124,64048,1368,64974,62146,983,62104
2357,63970,63520,716,64776,62683,63020,64460,2343,64643,61927,142,63907
2374,63970,63520,716,64776,62683,63020,64460,2343,64643,61927,142,63907
2390,65060,63737,1872,60876,3016,64848,64460,2343,64643,63386,64591,62923
2406,65060,63737,1872,60876,3016,64848,64460,2343,64643,63386,64591,62923
2424,65060,63737,1872,60876,3016,64848,64460,2343,64643,64322,64410,63221
2440,65060,63737,1872,60995,2544,267,64766,2047,65321,64322,64410,63221
2457,65060,63737,1872,60995,2544,267,64766,2047,65321,64322,64410,63221
2475,64881,63872,667,449,542,64926,64766,2047,65321,64230,63502,63474
2492,64881,63872,667,449,542,64926,64766,2047,65321,64230,63502,63474
2507,64881,63872,667,64478,493,64836,64270,1444,65446,64360,63543,63859
2525,64881,63872,667,64478,493,64836,64270,1444,65446,64360,63543,63859
2542,64881,63872,667,64478,493,64836,64270,1444,65446,64677,64297,64341
